Source,Target,Weight,W,sign
65,75,0.2999604880991791,-0.2999604880991791,0
8,45,0.3000275902340333,0.3000275902340333,1
53,75,0.3002629996230624,0.3002629996230624,1
83,54,0.30037100318423793,-0.30037100318423793,0
83,4,0.30078748468005334,0.30078748468005334,1
11,6,0.3018140305466418,0.3018140305466418,1
13,16,0.30196591434870773,0.30196591434870773,1
83,36,0.30200146451854304,0.30200146451854304,1
24,78,0.30313930760480734,0.30313930760480734,1
52,91,0.30340999938980123,0.30340999938980123,1
17,83,0.3035698530184415,-0.3035698530184415,0
28,7,0.30454314777800523,-0.30454314777800523,0
79,90,0.3055016858966616,0.3055016858966616,1
14,51,0.3057498924268357,0.3057498924268357,1
3,22,0.3059708917466894,-0.3059708917466894,0
50,11,0.30616293899577635,0.30616293899577635,1
12,24,0.3062388019511125,-0.3062388019511125,0
23,78,0.3064803072038499,-0.3064803072038499,0
28,33,0.3067572956614475,0.3067572956614475,1
36,33,0.30684605788720376,0.30684605788720376,1
38,72,0.306945210863359,0.306945210863359,1
83,12,0.30724867828224844,0.30724867828224844,1
53,0,0.30728206725894586,-0.30728206725894586,0
83,76,0.30746585514893354,0.30746585514893354,1
17,18,0.3076921824039111,0.3076921824039111,1
30,81,0.30816934912999294,-0.30816934912999294,0
1,6,0.30844508666012704,0.30844508666012704,1
35,63,0.3085213565617185,0.3085213565617185,1
86,64,0.30860722976708665,0.30860722976708665,1
64,88,0.30883613034843543,-0.30883613034843543,0
18,49,0.30893584895618437,-0.30893584895618437,0
35,23,0.3090195093442261,0.3090195093442261,1
79,16,0.30921082744234196,-0.30921082744234196,0
52,42,0.3097484796702018,0.3097484796702018,1
24,43,0.309808588851835,-0.309808588851835,0
3,53,0.3102051980354908,-0.3102051980354908,0
3,79,0.31022885652728543,0.31022885652728543,1
81,58,0.3102863556427947,-0.3102863556427947,0
52,58,0.3104043625313849,-0.3104043625313849,0
86,78,0.3104994783880971,0.3104994783880971,1
53,27,0.3107726994594887,-0.3107726994594887,0
35,86,0.31085259241336743,-0.31085259241336743,0
16,55,0.31109756536737254,0.31109756536737254,1
38,20,0.3111545971907094,0.3111545971907094,1
63,41,0.31116498415505545,-0.31116498415505545,0
75,49,0.3111918473045797,0.3111918473045797,1
3,6,0.311248489838093,-0.311248489838093,0
0,15,0.31126270925910177,-0.31126270925910177,0
32,28,0.31146956857358754,-0.31146956857358754,0
87,80,0.31150033218662,-0.31150033218662,0
36,49,0.3119419246996934,-0.3119419246996934,0
2,46,0.3129842465223418,0.3129842465223418,1
39,15,0.3130806187583751,-0.3130806187583751,0
90,69,0.31327457261126995,-0.31327457261126995,0
36,15,0.31382577033277703,-0.31382577033277703,0
88,16,0.3140192714783769,-0.3140192714783769,0
17,24,0.31410267652910545,0.31410267652910545,1
63,71,0.3141170190466522,-0.3141170190466522,0
82,50,0.31411890492415767,0.31411890492415767,1
3,38,0.31430563242875353,-0.31430563242875353,0
3,55,0.31456784556821615,-0.31456784556821615,0
65,20,0.31471218234969706,0.31471218234969706,1
22,10,0.31477212100614615,0.31477212100614615,1
19,40,0.31477313432965526,0.31477313432965526,1
70,87,0.31481269369957426,0.31481269369957426,1
44,81,0.3149750126151507,0.3149750126151507,1
4,40,0.3153548446888658,0.3153548446888658,1
79,25,0.3154721377214467,0.3154721377214467,1
91,25,0.3157096673333347,0.3157096673333347,1
36,76,0.31613045030874287,-0.31613045030874287,0
67,70,0.31615349295441464,-0.31615349295441464,0
5,90,0.3161827652831356,0.3161827652831356,1
64,14,0.31634828439830903,0.31634828439830903,1
12,1,0.3164940193367106,-0.3164940193367106,0
86,23,0.3165363902885814,-0.3165363902885814,0
71,80,0.31664706775076384,-0.31664706775076384,0
1,7,0.3167320639705298,0.3167320639705298,1
52,65,0.31673958534595203,0.31673958534595203,1
65,42,0.3168226284108223,-0.3168226284108223,0
52,49,0.31745140330915833,0.31745140330915833,1
3,97,0.3175656238191538,-0.3175656238191538,0
36,88,0.31757425999095307,-0.31757425999095307,0
6,57,0.3176654108330902,0.3176654108330902,1
